Exchange ID	Exchange Name
AminosugarsEX	Fake Amino Sugars Exchange
FAKEAAEX	Fake Amino Acids Exchange
FAKEABPEX	Fake A35bp Exchange
FAKEacpEX	Fake acp Exchange
FAKEApoacpEX	Fake Apo acp Exchange
FAKEThioredoxinEX	Fake Thioredoxin Exchange
FreefattyacidsEX	Fake Free fatty acids Exchange
ArtificialproteinEX	Fake Artificial_protein Exchange
B12EX	Vitamin B12 Exchange
BiotinEX	Biotin Exchange
FADEX	Fake FAD Exchange
GlycolaldehydeEX	Glycolaldehyde Exchange
LipoylproteinEX	Fake Lipoylprotein Exchange
MenaquinoneEX	Fake Menaquinone Exchange
MethanolEX	Methanol Exchange
NicotinateEX	Fake Nicotinate Exchange
SAdenosyl4methylthio2oxobutanoateEX	Fake S-Adenosyl-4-methylthio-2-oxobutanoate Release
SMethyl5thioDriboseEX	Fake S_Methyl_5_thio_D_ribose Release
NAcetylornithineEX	Fake N_Acetylornithine Exchange
THFpolyglutEX	Fake THF polyglutamate Exchange
Thiamin_dpEX	Fake Thiamin diphosphate Exchange
tRNAEX	Fake tRNA Exchange
GlycolateEX	Glycolate Exchange
AmmoniaEX	Ammonia Exchange
BiomassEX	Biomass Exchange
CadaverineEX	Cadaverine Exchange
CadmiumEX	Cadmium Exchange
CalciumEX	Calcium Exchange
ChlorideEX	Chloride Exchange
CO2EX	CO2 Exchange
CobaltEX	Cobalt Exchange
CopperEX	Copper Exchange
COEX	CO Exchange
CyanateEX	Cyanate Exchange
FAKEOrthophosphateEX	FAKEOrthophosphate Exchange
GlycogenEX	Glycogen Exchange
H2OEX	H2O Exchange
H2SEX	H2S Exchange
HCO3EXcar	HCO3 Exchangecar
HEX	H Exchange
IronEX	Iron Exchange
LightEX	Light Exchange
MagnesiumEX	Magnesium Exchange
MolybdenumEX	Molybdenum Exchange
O2EX	O2 Exchange
PotassiumEX	Potassium Exchange
SelenateEX	Selenate Exchange
SodiumEX	Sodium Exchange
SpermineEX	Spermine Exchange
SulfateEX	Sulfate Exchange
ThiosulfateEX	Thiosulfate Exchange
UreaEX	Urea Exchange
ZincEX	Zinc Exchange
L_AlanineEX	L_Alanine Exchange
L_ArginineEX	L_Arginine Exchange
L_AsparagineEX	L_Asparagine Exchange
L_AspartateEX	L_Aspartate Exchange
L_CystineEX	L_Cystine Exchange
L_GlutamateEX	L_Glutamate Exchange
L_GlutamineEX	L_Glutamine Exchange
GlycineEX	Glycine Exchange
L_HistidineEX	L_Histidine Exchange
L_IsoleucineEX	L_Isoleucine Exchange
L_LeucineEX	L_Leucine Exchange
L_LysineEX	L_Lysine Exchange
L_MethionineEX	L_Methionine Exchange
L_PhenylalanineEX	L_Phenylalanine Exchange
L_ProlineEX	L_Proline Exchange
L_SerineEX	L_Serine Exchange
L_ThreonineEX	L_Threonine Exchange
L_TryptophanEX	L_Tryptophan Exchange
L_TyrosineEX	L_Tyrosine Exchange
L_ValineEX	L_Valine Exchange
D_GlucoseEX	D-Glucose Exchange
PhospholipidEX	Phospholipid Exchange
LPSEX	Lipopolysaccharide Exchange
PnEX	Phosphonate Exchange
AcetateEX	AcetateEX
CitrateEX	CitrateEX
FormateEX	FormateEX
PyruvateEX	PyruvateEX
FumarateEX	FumarateEX
GlutathioneEX	GlutathioneEX
4_Methyl_2_oxopentanoateEX	4_Methyl_2_oxopentanoateEX
PantothenateEX	PantothenateEX
SuccinateEX	SuccinateEX
ThymidineEX	ThymidineEX
XanthosineEX	XanthosineEX
4_AminobenzoateEX	4_AminobenzoateEX
5_MethylthioadenosineEX	5_MethylthioadenosineEX
AdenineEX	AdenineEX
DethiobiotinEX	DethiobiotinEX
GuanineEX	GuanineEX
GuanosineEX	GuanosineEX
PutrescineEX	PutrescineEX
SpermidineEX	SpermidineEX
4_HydroxybenzoateEX	4_HydroxybenzoateEX
EthanolEX	EthanolEX
S_MalateEX	S_MalateEX
H2O2EX	H2O2 exchange
